-158.156667 56.845000 0.1636
-158.077000 56.891667 0.1428
-158.018000 56.926333 0.1508
-158.025000 56.924000 0.0924
-158.071000 56.838500 0.19
-158.029833 56.899000 0.1916
-158.089167 56.917167 0.1068
-158.059000 56.910667 0.0964
-158.001667 56.927500 0.1556
-158.073000 56.879167 0.1516
-158.095667 56.869167 0.1788
-158.152833 56.854167 0.1476
-158.143833 56.862833 0.122
-158.061833 56.907500 0.1692
-158.048500 56.889667 0.1436
-158.069167 56.871667 0.2212
-158.061500 56.863000 0.1756
-158.080500 56.865833 0.1804
-158.140333 56.886000 0.1044
-158.036333 56.867500 0.1788
-158.072833 56.901500 0.1844
-158.087167 56.900500 0.186
-158.075333 56.906333 0.1476
-158.072833 56.904167 0.3764
-158.082833 56.870167 0.1268
-158.078167 56.910667 0.2372
-158.047167 56.875000 0.1748
-158.077667 56.877333 0.1732
-158.062167 56.856167 0.0948
-157.492000 57.025000 0.3084
-158.055167 56.874833 0.11
-158.066833 56.912667 0.11
-158.144833 56.854000 0.1356
-158.074167 56.904000 0.13
-158.007500 56.916333 0.1092
-158.115333 56.848167 0.0876
-158.116667 56.901833 0.13
-158.143500 56.859667 0.0932
-158.162667 56.850667 0.0964
-158.120000 56.843000 0.126
-158.171333 56.849500 0.122
-158.100500 56.955333 0.1076
-158.055500 56.924500 0.0828
-158.049667 56.909167 0.0932
-158.047167 56.906500 0.1044
-158.120000 56.863833 0.1204
-158.161000 56.863000 0.0652
-158.138167 56.868833 0.094
-158.084667 56.856667 0.1356
-158.125167 56.850167 0.1612
-158.042167 56.888167 0.1996
-158.267000 56.836000 0.2116
-158.060333 56.898667 0.2156
-158.100000 56.918333 0.1852
-158.079333 56.858500 0.1412
-158.216667 56.916833 0.1396
-158.096833 56.871167 0.1204
-158.102000 56.856000 0.1412
-158.124833 56.854833 0.1492
-158.075500 56.893667 0.1292
-158.180833 56.862500 0.154
-158.079667 56.866833 0.1676
-158.149667 56.860333 0.1716
-158.010000 56.917500 0.1772
-158.084000 56.861667 0.3892
-158.055333 56.873167 0.1556
-158.345833 56.792167 0.234
-158.021833 56.899333 0.1788
-158.110833 56.840000 0.0916
-158.138000 56.867667 0.1956
-158.060167 56.812000 0.166
-158.085167 56.869333 0.1676
-158.122667 56.868000 0.138
-158.414333 56.727000 0.1852
