Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91111723,2023-07-25 04:23:13,4,-1.06,56.863,-158.161,2.09 km (1.30 mi) SSW of Aniakchak (190º)
av91976216,2023-07-25 02:24:30,4.16,-0.7,56.8688333333,-158.1381666667,1.74 km (1.08 mi) SSE of Aniakchak (144º)
av91975971,2023-07-24 20:51:11,4.85,-0.18,56.8566666667,-158.0846666667,5.09 km (3.16 mi) SE of Aniakchak (123º)
av91975901,2023-07-24 19:26:24,2.66,0.14,56.8501666667,-158.1251666667,3.93 km (2.44 mi) SSE of Aniakchak (152º)
av91111698,2023-07-24 13:41:19,0.54,0.62,56.8881666667,-158.0421666667,6.89 km (4.28 mi) E of Aniakchak (84º)
av91974826,2023-07-23 18:27:36,8.9,0.77,56.836,-158.267,8.48 km (5.27 mi) WSW of Aniakchak (233º)
av91974751,2023-07-23 17:03:34,3.2,0.82,56.8986666667,-158.0603333333,6.06 km (3.76 mi) E of Aniakchak (72º)
av91974301,2023-07-23 09:23:19,4.44,0.44,56.9183333333,-158.1,5.28 km (3.28 mi) NE of Aniakchak (39º)
av91974176,2023-07-23 06:21:31,2.33,-0.11,56.8585,-158.0793333333,5.26 km (3.27 mi) SE of Aniakchak (119º)
av91972831,2023-07-22 03:25:59,8.05,-0.13,56.9168333333,-158.2166666667,5.43 km (3.37 mi) NNW of Aniakchak (316º)
av91972286,2023-07-21 15:36:01,8.53,-0.37,56.8711666667,-158.0968333333,3.72 km (2.31 mi) ESE of Aniakchak (108º)
av91971921,2023-07-21 09:09:15,4.42,-0.11,56.856,-158.102,4.29 km (2.66 mi) SE of Aniakchak (131º)
av91111353,2023-07-21 06:37:21,5.07,-0.01,56.8548333333,-158.1248333333,3.49 km (2.16 mi) SSE of Aniakchak (148º)
av91970296,2023-07-20 00:02:26,4.58,-0.26,56.8936666667,-158.0755,5.01 km (3.11 mi) E of Aniakchak (74º)
av91111278,2023-07-19 21:52:11,4.8,0.05,56.8625,-158.1808333333,2.63 km (1.63 mi) SW of Aniakchak (217º)
av91968911,2023-07-18 16:40:51,5.09,0.22,56.8668333333,-158.0796666667,4.86 km (3.02 mi) ESE of Aniakchak (110º)
av91967831,2023-07-17 17:59:44,2.83,0.27,56.8603333333,-158.1496666667,2.38 km (1.48 mi) S of Aniakchak (172º)
