-163.000000 53.000000 0.003009	-166.800000 51.950000 10.626751 
-163.000000 53.000000 0.003018	-166.750000 51.950000 10.246804 
-163.000000 53.000000 0.003026	-166.700000 51.950000 9.789177 
-163.000000 53.000000 0.003034	-166.650000 51.950000 9.336640 
-163.000000 53.000000 0.003034	-166.800000 52.000000 11.102888 
-163.000000 53.000000 0.003034	-166.750000 52.000000 10.703888 
-163.000000 53.000000 0.003042	-166.700000 52.000000 10.230066 
-163.000000 53.000000 0.003042	-166.650000 52.000000 9.762943 
-163.000000 53.000000 0.003042	-166.600000 52.000000 9.341207 
-163.000000 53.000000 0.003042	-166.550000 52.000000 8.977426 
-163.000000 53.000000 0.003050	-166.500000 52.000000 8.668831 
-163.000000 53.000000 0.003050	-166.800000 52.050000 11.632199 
-163.000000 53.000000 0.003050	-166.750000 52.050000 11.213083 
-163.000000 53.000000 0.003058	-166.700000 52.050000 10.722360 
-163.000000 53.000000 0.003058	-166.650000 52.050000 10.240081 
-163.000000 53.000000 0.003058	-166.600000 52.050000 9.804144 
-163.000000 53.000000 0.003058	-166.550000 52.050000 9.426744 
-163.000000 53.000000 0.003058	-166.500000 52.050000 9.104986 
-163.000000 53.000000 0.003066	-166.450000 52.050000 8.830698 
-163.000000 53.000000 0.003066	-166.400000 52.050000 8.596200 
-163.000000 53.000000 0.003066	-166.350000 52.050000 8.394631 
-163.000000 53.000000 0.003066	-166.800000 52.100000 12.216499 
-163.000000 53.000000 0.003066	-166.750000 52.100000 11.776373 
-163.000000 53.000000 0.003066	-166.700000 52.100000 11.268193 
-163.000000 53.000000 0.003066	-166.650000 52.100000 10.770337 
-163.000000 53.000000 0.003066	-166.600000 52.100000 10.319800 
-163.000000 53.000000 0.003074	-166.550000 52.100000 9.928353 
-163.000000 53.000000 0.003074	-166.500000 52.100000 9.592964 
-163.000000 53.000000 0.003074	-166.450000 52.100000 9.305428 
-163.000000 53.000000 0.003074	-166.400000 52.100000 9.058040 
-163.000000 53.000000 0.003074	-166.350000 52.100000 8.843916 
-163.000000 53.000000 0.003074	-166.300000 52.100000 8.657046 
-163.000000 53.000000 0.003081	-166.250000 52.100000 8.492301 
-163.000000 53.000000 0.003081	-166.200000 52.100000 8.345386 
-163.000000 53.000000 0.003081	-166.150000 52.100000 8.212786 
-163.000000 53.000000 0.003081	-166.800000 52.150000 12.857119 
-163.000000 53.000000 0.003081	-166.750000 52.150000 12.395272 
-163.000000 53.000000 0.003081	-166.700000 52.150000 11.869242 
-163.000000 53.000000 0.003081	-166.650000 52.150000 11.355533 
-163.000000 53.000000 0.003081	-166.600000 52.150000 10.890137 
-163.000000 53.000000 0.003081	-166.550000 52.150000 10.484353 
-163.000000 53.000000 0.003081	-166.500000 52.150000 10.134996 
-163.000000 53.000000 0.003081	-166.450000 52.150000 9.833831 
-163.000000 53.000000 0.003088	-166.400000 52.150000 9.573130 
-163.000000 53.000000 0.003088	-166.350000 52.150000 9.345985 
-163.000000 53.000000 0.003088	-166.300000 52.150000 9.146370 
-163.000000 53.000000 0.003088	-166.250000 52.150000 8.969135 
-163.000000 53.000000 0.003088	-166.200000 52.150000 8.809976 
-163.000000 53.000000 0.003088	-166.150000 52.150000 8.665368 
-163.000000 53.000000 0.003088	-166.100000 52.150000 8.532483 
-163.000000 53.000000 0.003088	-166.050000 52.150000 8.409098 
-163.000000 53.000000 0.003088	-166.000000 52.150000 8.293495 
