-161.000000,53.000000,0.007051	-162.975000,52.975000,13.387368
-161.000000,53.000000,0.007051	-162.925000,52.975000,12.121540
-161.000000,53.000000,0.007051	-162.825000,52.975000,10.731831
-161.000000,53.000000,0.007051	-162.725000,52.975000,9.889231
-161.000000,53.000000,0.006949	-162.675000,52.975000,9.217134
-161.000000,53.000000,0.006949	-162.575000,52.975000,8.509280
-161.000000,53.000000,0.006949	-162.475000,52.975000,8.095796
-161.000000,53.000000,0.006949	-162.425000,52.975000,7.774633
-161.000000,53.000000,0.006949	-162.325000,52.975000,7.441052
-161.000000,53.000000,0.006949	-162.225000,52.975000,7.246552
-161.000000,53.000000,0.006949	-162.175000,52.975000,7.093257
-161.000000,53.000000,0.006949	-162.075000,52.975000,6.928959
-161.000000,53.000000,0.006949	-161.975000,52.975000,6.828411
-161.000000,53.000000,0.006949	-163.425000,53.025000,26.695555
-161.000000,53.000000,0.006949	-163.325000,53.025000,22.849495
-161.000000,53.000000,0.006949	-163.225000,53.025000,20.376888
-161.000000,53.000000,0.006949	-163.175000,53.025000,18.248840
-161.000000,53.000000,0.006949	-163.075000,53.025000,15.810843
-161.000000,53.000000,0.006949	-162.975000,53.025000,14.254293
-161.000000,53.000000,0.006949	-162.925000,53.025000,12.943531
-161.000000,53.000000,0.006949	-162.825000,53.025000,11.490475
-161.000000,53.000000,0.006949	-162.725000,53.025000,10.599236
-161.000000,53.000000,0.006949	-162.675000,53.025000,9.879005
-161.000000,53.000000,0.006949	-162.575000,53.025000,9.109636
-161.000000,53.000000,0.006949	-162.475000,53.025000,8.653104
-161.000000,53.000000,0.006949	-162.425000,53.025000,8.292934
-161.000000,53.000000,0.006949	-162.325000,53.025000,7.913448
-161.000000,53.000000,0.006949	-162.225000,53.025000,7.689237
-161.000000,53.000000,0.006949	-162.175000,53.025000,7.510766
-161.000000,53.000000,0.006949	-162.075000,53.025000,7.318320
-161.000000,53.000000,0.006949	-161.975000,53.025000,7.200183
-161.000000,53.000000,0.006949	-161.925000,53.025000,7.100940
-161.000000,53.000000,0.006845	-161.825000,53.025000,6.986507
-161.000000,53.060000,0.009025	-163.425000,53.075000,27.388596
-161.000000,53.060000,0.008798	-163.325000,53.075000,23.560547
-161.000000,53.060000,0.008556	-163.225000,53.075000,21.084923
-161.000000,53.060000,0.008385	-163.175000,53.075000,18.942928
-161.000000,53.060000,0.008117	-163.075000,53.075000,16.476543
-161.000000,53.060000,0.008024	-162.975000,53.075000,14.893401
-161.000000,53.060000,0.007930	-162.925000,53.075000,13.552429
-161.000000,53.060000,0.007736	-162.825000,53.075000,12.056042
-161.000000,53.060000,0.007637	-162.725000,53.075000,11.131078
-161.000000,53.060000,0.007536	-162.675000,53.075000,10.377100
-161.000000,53.060000,0.007536	-162.575000,53.075000,9.564205
-161.000000,53.060000,0.007434	-162.475000,53.075000,9.076963
-161.000000,53.060000,0.007434	-162.425000,53.075000,8.688765
-161.000000,53.060000,0.007330	-162.325000,53.075000,8.276077
-161.000000,53.060000,0.007330	-162.225000,53.075000,8.030242
-161.000000,53.060000,0.007330	-162.175000,53.075000,7.833354
-161.000000,53.060000,0.007330	-162.075000,53.075000,7.620235
-161.000000,53.060000,0.007224	-161.975000,53.075000,7.489147
-161.000000,53.060000,0.007224	-161.925000,53.075000,7.379029
-161.000000,53.060000,0.007224	-161.825000,53.075000,7.252230
-161.000000,53.060000,0.007224	-161.725000,53.075000,7.168216
-161.000000,53.120000,0.009403	-163.425000,53.125000,28.117142
-161.000000,53.120000,0.009102	-163.325000,53.125000,24.311739
-161.000000,53.120000,0.008940	-163.225000,53.125000,21.835365
-161.000000,53.120000,0.008771	-163.175000,53.125000,19.680878
-161.000000,53.120000,0.008505	-163.075000,53.125000,17.187284
-161.000000,53.120000,0.008412	-162.975000,53.125000,15.577983
-161.000000,53.120000,0.008222	-162.925000,53.125000,14.206856
-161.000000,53.120000,0.008124	-162.825000,53.125000,12.666771
-161.000000,53.120000,0.008025	-162.725000,53.125000,11.707518
-161.000000,53.120000,0.007924	-162.675000,53.125000,10.918991
-161.000000,53.120000,0.007821	-162.575000,53.125000,10.061266
-161.000000,53.120000,0.007821	-162.475000,53.125000,9.542207
-161.000000,53.120000,0.007717	-162.425000,53.125000,9.124805
-161.000000,53.120000,0.007717	-162.325000,53.125000,8.677341
-161.000000,53.120000,0.007611	-162.225000,53.125000,8.408734
-161.000000,53.120000,0.007611	-162.175000,53.125000,8.192350
-161.000000,53.120000,0.007611	-162.075000,53.125000,7.957258
-161.000000,53.120000,0.007611	-161.975000,53.125000,7.812358
-161.000000,53.120000,0.007611	-161.925000,53.125000,7.690632
-161.000000,53.120000,0.007611	-161.825000,53.125000,7.550645
-161.000000,53.120000,0.007503	-161.725000,53.125000,7.458072
-161.000000,53.120000,0.007503	-161.675000,53.125000,7.374063
-161.000000,53.240000,0.009833	-163.325000,53.225000,25.519049
-161.000000,53.240000,0.009601	-163.225000,53.225000,23.044313
-161.000000,53.240000,0.009436	-163.175000,53.225000,20.873026
-161.000000,53.240000,0.009174	-163.075000,53.225000,18.340488
-161.000000,53.240000,0.009083	-162.975000,53.225000,16.692921
