-163.000000 53.000000 0.000181	-166.750000 52.300000 14.592401 
-163.000000 53.000000 0.000181	-166.700000 52.300000 14.011881 
-163.000000 53.000000 0.000181	-166.650000 52.300000 13.450221 
-163.000000 53.000000 0.000181	-166.600000 52.300000 12.939906 
-163.000000 53.000000 0.000181	-166.550000 52.300000 12.490584 
-163.000000 53.000000 0.000181	-166.500000 52.300000 12.098535 
-163.000000 53.000000 0.000181	-166.450000 52.300000 11.755423 
-163.000000 53.000000 0.000181	-166.400000 52.300000 11.453455 
-163.000000 53.000000 0.000181	-166.350000 52.300000 11.185675 
-163.000000 53.000000 0.000181	-166.300000 52.300000 10.946023 
-163.000000 53.000000 0.000181	-166.250000 52.300000 10.729335 
-163.000000 53.000000 0.000181	-166.200000 52.300000 10.531304 
-163.000000 53.000000 0.000181	-166.150000 52.300000 10.348419 
-163.000000 53.000000 0.000181	-166.100000 52.300000 10.177876 
-163.000000 53.000000 0.000181	-166.050000 52.300000 10.017479 
-163.000000 53.000000 0.000181	-166.000000 52.300000 9.865549 
-163.000000 53.000000 0.000181	-165.950000 52.300000 9.720821 
-163.000000 53.000000 0.000124	-165.900000 52.300000 9.582357 
-163.000000 53.000000 0.000124	-165.850000 52.300000 9.449469 
-163.000000 53.000000 0.000124	-165.800000 52.300000 9.321645 
-163.000000 53.000000 0.000124	-165.750000 52.300000 9.198502 
-163.000000 53.000000 0.000124	-165.700000 52.300000 9.079734 
-163.000000 53.000000 0.000124	-165.650000 52.300000 8.965081 
-163.000000 53.000000 0.000124	-165.600000 52.300000 8.854310 
-163.000000 53.000000 0.000124	-165.550000 52.300000 8.747190 
-163.000000 53.000000 0.000124	-166.800000 52.350000 15.989725 
-163.000000 53.000000 0.000124	-166.750000 52.350000 15.437590 
-163.000000 53.000000 0.000124	-166.700000 52.350000 14.838945 
-163.000000 53.000000 0.000124	-166.650000 52.350000 14.261447 
-163.000000 53.000000 0.000124	-166.600000 52.350000 13.736310 
-163.000000 53.000000 0.000124	-166.550000 52.350000 13.272578 
-163.000000 53.000000 0.000124	-166.500000 52.350000 12.866333 
-163.000000 53.000000 0.000124	-166.450000 52.350000 12.509203 
-163.000000 53.000000 0.000124	-166.400000 52.350000 12.193372 
-163.000000 53.000000 0.000124	-166.350000 52.350000 11.911876 
-163.000000 53.000000 0.000124	-166.300000 52.350000 11.658654 
-163.000000 53.000000 0.000124	-166.250000 52.350000 11.428552 
-163.000000 53.000000 0.000124	-166.200000 52.350000 11.217276 
-163.000000 53.000000 0.000124	-166.150000 52.350000 11.021334 
-163.000000 53.000000 0.000124	-166.100000 52.350000 10.837940 
-163.000000 53.000000 0.000124	-166.050000 52.350000 10.664923 
-163.000000 53.000000 0.000124	-166.000000 52.350000 10.500617 
-163.000000 53.000000 0.000124	-165.950000 52.350000 10.343771 
-163.000000 53.000000 0.000124	-165.900000 52.350000 10.193454 
-163.000000 53.000000 0.000124	-165.850000 52.350000 10.048977 
-163.000000 53.000000 0.000124	-165.800000 52.350000 9.909822 
-163.000000 53.000000 0.000124	-165.750000 52.350000 9.775589 
-163.000000 53.000000 0.000124	-165.700000 52.350000 9.645950 
-163.000000 53.000000 0.000068	-165.650000 52.350000 9.520618 
-163.000000 53.000000 0.000068	-165.600000 52.350000 9.399325 
-163.000000 53.000000 0.000068	-165.550000 52.350000 9.281806 
-163.000000 53.000000 0.000068	-165.500000 52.350000 9.167793 
-163.000000 53.000000 0.000068	-165.450000 52.350000 9.057017 
-163.000000 53.000000 0.000068	-165.400000 52.350000 8.949202 
-163.000000 53.000000 0.000068	-165.350000 52.350000 8.844072 
-163.000000 53.000000 0.000068	-166.800000 52.400000 16.912380 
-163.000000 53.000000 0.000068	-166.750000 52.400000 16.337551 
-163.000000 53.000000 0.000068	-166.700000 52.400000 15.720868 
-163.000000 53.000000 0.000068	-166.650000 52.400000 15.127628 
-163.000000 53.000000 0.000068	-166.600000 52.400000 14.587769 
-163.000000 53.000000 0.000068	-166.550000 52.400000 14.109718 
-163.000000 53.000000 0.000068	-166.500000 52.400000 13.689354 
-163.000000 53.000000 0.000068	-166.450000 52.400000 13.318262 
-163.000000 53.000000 0.000068	-166.400000 52.400000 12.988609 
-163.000000 53.000000 0.000068	-166.350000 52.400000 12.693426 
-163.000000 53.000000 0.000068	-166.300000 52.400000 12.426660 
-163.000000 53.000000 0.000068	-166.250000 52.400000 12.183170 
-163.000000 53.000000 0.000068	-166.200000 52.400000 11.958691 
-163.000000 53.000000 0.000068	-166.150000 52.400000 11.749751 
-163.000000 53.000000 0.000068	-166.100000 52.400000 11.553595 
