-163.000000 53.000000 0.002590	-166.150000 52.200000 9.171065 
-163.000000 53.000000 0.002590	-166.100000 52.200000 9.025923 
-163.000000 53.000000 0.002590	-166.050000 52.200000 8.890500 
-163.000000 53.000000 0.002590	-166.000000 52.200000 8.763089 
-163.000000 53.000000 0.002590	-165.950000 52.200000 8.642400 
-163.000000 53.000000 0.002590	-165.900000 52.200000 8.527473 
-163.000000 53.000000 0.002590	-165.850000 52.200000 8.417608 
-163.000000 53.000000 0.002612	-166.800000 52.250000 14.309853 
-163.000000 53.000000 0.002612	-166.750000 52.250000 13.803201 
-163.000000 53.000000 0.002612	-166.700000 52.250000 13.240877 
-163.000000 53.000000 0.002612	-166.650000 52.250000 12.695165 
-163.000000 53.000000 0.002612	-166.600000 52.250000 12.199782 
-163.000000 53.000000 0.002612	-166.550000 52.250000 11.764960 
-163.000000 53.000000 0.002612	-166.500000 52.250000 11.387168 
-163.000000 53.000000 0.002612	-166.450000 52.250000 11.058107 
-163.000000 53.000000 0.002612	-166.400000 52.250000 10.770004 
-163.000000 53.000000 0.002612	-166.350000 52.250000 10.515917 
-163.000000 53.000000 0.002612	-166.300000 52.250000 10.289791 
-163.000000 53.000000 0.002612	-166.250000 52.250000 10.086460 
-163.000000 53.000000 0.002612	-166.200000 52.250000 9.901614 
-163.000000 53.000000 0.002612	-166.150000 52.250000 9.731728 
-163.000000 53.000000 0.002612	-166.100000 52.250000 9.573983 
-163.000000 53.000000 0.002612	-166.050000 52.250000 9.426171 
-163.000000 53.000000 0.002612	-166.000000 52.250000 9.286597 
-163.000000 53.000000 0.002612	-165.950000 52.250000 9.153981 
-163.000000 53.000000 0.002612	-165.900000 52.250000 9.027377 
-163.000000 53.000000 0.002634	-165.850000 52.250000 8.906091 
-163.000000 53.000000 0.002634	-165.800000 52.250000 8.789612 
-163.000000 53.000000 0.002634	-165.750000 52.250000 8.677563 
-163.000000 53.000000 0.002634	-165.700000 52.250000 8.569652 
-163.000000 53.000000 0.002634	-166.800000 52.300000 15.121781 
-163.000000 53.000000 0.002634	-166.750000 52.300000 14.592401 
-163.000000 53.000000 0.002634	-166.700000 52.300000 14.011881 
-163.000000 53.000000 0.002634	-166.650000 52.300000 13.450221 
-163.000000 53.000000 0.002634	-166.600000 52.300000 12.939906 
-163.000000 53.000000 0.002634	-166.550000 52.300000 12.490584 
-163.000000 53.000000 0.002634	-166.500000 52.300000 12.098535 
-163.000000 53.000000 0.002634	-166.450000 52.300000 11.755423 
-163.000000 53.000000 0.002634	-166.400000 52.300000 11.453455 
-163.000000 53.000000 0.002634	-166.350000 52.300000 11.185675 
-163.000000 53.000000 0.002634	-166.300000 52.300000 10.946023 
-163.000000 53.000000 0.002634	-166.250000 52.300000 10.729335 
-163.000000 53.000000 0.002634	-166.200000 52.300000 10.531304 
-163.000000 53.000000 0.002634	-166.150000 52.300000 10.348419 
-163.000000 53.000000 0.002634	-166.100000 52.300000 10.177876 
-163.000000 53.000000 0.002634	-166.050000 52.300000 10.017479 
-163.000000 53.000000 0.002634	-166.000000 52.300000 9.865549 
-163.000000 53.000000 0.002634	-165.950000 52.300000 9.720821 
-163.000000 53.000000 0.002654	-165.900000 52.300000 9.582357 
-163.000000 53.000000 0.002654	-165.850000 52.300000 9.449469 
-163.000000 53.000000 0.002654	-165.800000 52.300000 9.321645 
-163.000000 53.000000 0.002654	-165.750000 52.300000 9.198502 
-163.000000 53.000000 0.002654	-165.700000 52.300000 9.079734 
-163.000000 53.000000 0.002654	-165.650000 52.300000 8.965081 
-163.000000 53.000000 0.002654	-165.600000 52.300000 8.854310 
-163.000000 53.000000 0.002654	-165.550000 52.300000 8.747190 
-163.000000 53.000000 0.002654	-166.800000 52.350000 15.989725 
-163.000000 53.000000 0.002654	-166.750000 52.350000 15.437590 
-163.000000 53.000000 0.002654	-166.700000 52.350000 14.838945 
-163.000000 53.000000 0.002654	-166.650000 52.350000 14.261447 
-163.000000 53.000000 0.002654	-166.600000 52.350000 13.736310 
-163.000000 53.000000 0.002654	-166.550000 52.350000 13.272578 
-163.000000 53.000000 0.002654	-166.500000 52.350000 12.866333 
-163.000000 53.000000 0.002654	-166.450000 52.350000 12.509203 
-163.000000 53.000000 0.002654	-166.400000 52.350000 12.193372 
-163.000000 53.000000 0.002654	-166.350000 52.350000 11.911876 
-163.000000 53.000000 0.002654	-166.300000 52.350000 11.658654 
-163.000000 53.000000 0.002654	-166.250000 52.350000 11.428552 
-163.000000 53.000000 0.002654	-166.200000 52.350000 11.217276 
-163.000000 53.000000 0.002654	-166.150000 52.350000 11.021334 
-163.000000 53.000000 0.002654	-166.100000 52.350000 10.837940 
-163.000000 53.000000 0.002654	-166.050000 52.350000 10.664923 
-163.000000 53.000000 0.002654	-166.000000 52.350000 10.500617 
-163.000000 53.000000 0.002654	-165.950000 52.350000 10.343771 
-163.000000 53.000000 0.002654	-165.900000 52.350000 10.193454 
-163.000000 53.000000 0.002654	-165.850000 52.350000 10.048977 
-163.000000 53.000000 0.002654	-165.800000 52.350000 9.909822 
-163.000000 53.000000 0.002654	-165.750000 52.350000 9.775589 
-163.000000 53.000000 0.002654	-165.700000 52.350000 9.645950 
-163.000000 53.000000 0.002675	-165.650000 52.350000 9.520618 
-163.000000 53.000000 0.002675	-165.600000 52.350000 9.399325 
-163.000000 53.000000 0.002675	-165.550000 52.350000 9.281806 
-163.000000 53.000000 0.002675	-165.500000 52.350000 9.167793 
-163.000000 53.000000 0.002675	-165.450000 52.350000 9.057017 
-163.000000 53.000000 0.002675	-165.400000 52.350000 8.949202 
-163.000000 53.000000 0.002675	-165.350000 52.350000 8.844072 
-163.000000 53.000000 0.002675	-166.800000 52.400000 16.912380 
-163.000000 53.000000 0.002675	-166.750000 52.400000 16.337551 
-163.000000 53.000000 0.002675	-166.700000 52.400000 15.720868 
-163.000000 53.000000 0.002675	-166.650000 52.400000 15.127628 
-163.000000 53.000000 0.002675	-166.600000 52.400000 14.587769 
-163.000000 53.000000 0.002675	-166.550000 52.400000 14.109718 
-163.000000 53.000000 0.002675	-166.500000 52.400000 13.689354 
-163.000000 53.000000 0.002675	-166.450000 52.400000 13.318262 
-163.000000 53.000000 0.002675	-166.400000 52.400000 12.988609 
-163.000000 53.000000 0.002675	-166.350000 52.400000 12.693426 
-163.000000 53.000000 0.002675	-166.300000 52.400000 12.426660 
-163.000000 53.000000 0.002675	-166.250000 52.400000 12.183170 
-163.000000 53.000000 0.002675	-166.200000 52.400000 11.958691 
-163.000000 53.000000 0.002675	-166.150000 52.400000 11.749751 
-163.000000 53.000000 0.002675	-166.100000 52.400000 11.553595 
-163.000000 53.000000 0.002675	-166.050000 52.400000 11.368071 
-163.000000 53.000000 0.002675	-166.000000 52.400000 11.191535 
-163.000000 53.000000 0.002675	-165.950000 52.400000 11.022745 
-163.000000 53.000000 0.002675	-165.900000 52.400000 10.860773 
-163.000000 53.000000 0.002675	-165.850000 52.400000 10.704922 
-163.000000 53.000000 0.002675	-165.800000 52.400000 10.554654 
-163.000000 53.000000 0.002675	-165.750000 52.400000 10.409544 
-163.000000 53.000000 0.002675	-165.700000 52.400000 10.269229 
-163.000000 53.000000 0.002675	-165.650000 52.400000 10.133382 
-163.000000 53.000000 0.002675	-165.600000 52.400000 10.001688 
-163.000000 53.000000 0.002675	-165.550000 52.400000 9.873839 
-163.000000 53.000000 0.002675	-165.500000 52.400000 9.749524 
