cn25	-92.13531	16.23206	7004.83336496	1.1287311147	3.01509747482	0.525904970076	4.79301356971	1.20666315668	2.65672927854	0.815860525244	4.24347301935
oxum	-96.49903	15.66227	6786.16165985	3.3819279342	10.116966455	5.29164348941	10.0505031	2.64054781488	7.58224642651	4.21694036074	8.79797895091
tnal	-98.655235	19.118731	6341.59087887	1.04990777015	2.50733524442	0.211511498568	3.99212405385	1.0632428504	2.33338340072	0.266324710552	3.67986104047
tncy	-97.75887	16.05851	6673.05447057	2.083498746	4.31206876398	3.18793243404	6.34685677869	1.71814745485	3.46549137295	2.35060433116	5.39764822045
tnmq	-98.61159	16.71037	6561.80545328	1.88557823699	3.94472307339	2.75444556996	5.96016520366	1.72871149102	3.33770264108	2.37722518829	5.23447642382
tnnp	-97.14198	16.12052	6705.16688214	1.73793904796	4.4477049476	2.40034541042	6.48135969249	1.54838420053	3.63980722002	1.89878731198	5.61078382138
tnnx	-97.2239	17.4076	6583.6766407	2.28851607036	6.76264572779	3.59553966466	8.30116636797	2.01270323416	5.27972539717	3.03779744452	7.22611335111
tnsj	-96.48952	16.17241	6740.49728138	2.46824878862	5.62590646579	3.92388932541	7.50192507472	2.0535086793	4.32823120289	3.12496542771	6.36310451603
uton	-98.31624	19.03347	6370.09354811	2.23683810744	4.57210592382	3.49634552898	6.60116283315	1.87171472647	3.82469095743	2.7223965735	5.82596349057
uxal	-96.924757	19.516385	6412.72212029	1.24895610518	2.95287752983	0.965471752727	4.70245435037	1.15669690408	2.56432423905	0.632195731852	4.08972937511
