mag,lat,lon,depth,time
0.3,64.5393,-147.121,0.12,604114912.27
0.7,64.8033,-147.5413,8.04,604184268.18
0.9,65.018,-148.9292,2.61,604310257.48
0.6,64.9523,-147.9877,-0.43,604369212.32
1.6,64.6925,-148.016,25.43,604693205.38
1.8,64.625,-148.4028,13.84,604703777.59
1.3,64.0605,-147.4485,8.45,604721135.63
1.1,64.6257,-146.9807,0.07,604781799.15
1.0,64.9133,-147.9785,-0.31,604791255.79
0.5,64.6412,-147.7995,16.28,604793599.72
1.1,65.0755,-146.9515,-1.49,604795072.15
1.2,65.0542,-147.0377,3.69,604977153.2
1.6,64.8423,-147.1808,17.32,605082745.96
1.1,64.8668,-148.751,20.18,605106611.77
1.0,64.6292,-146.9165,2.75,605136055.79
0.9,64.442,-148.0198,20.04,605163939.81
1.4,65.293,-146.1912,-1.97,605216334.95
0.8,64.918,-147.9843,1.24,605231080.05
0.9,64.7212,-147.4603,15.96,605235747.93
1.3,64.9922,-147.4743,17.42,605244704.2
2.0,64.2902,-146.9585,12.39,605253471.68
0.9,64.7962,-148.463,15.41,605253715.31
1.6,64.3062,-146.99,8.72,605261946.46
1.0,64.6902,-147.7473,14.49,605314543.12
0.7,64.702,-148.639,12.55,605356821.82
1.0,64.755,-148.1298,13.47,605388842.26
1.2,65.2812,-146.2027,-1.36,605397107.39
1.0,64.2715,-148.155,18.38,605403984.28
0.1,64.538,-147.4533,-1.85,605418001.89
1.0,64.0475,-147.489,12.91,605483444.85
1.7,65.895,-147.8212,24.75,605488264.98
0.9,64.917,-147.9825,-0.73,605488869.48
1.6,65.5695,-148.5805,13.33,605569025.79
0.3,64.9063,-147.9918,-0.46,605576769.1
1.1,64.991,-147.2577,-1.21,605582279.77
0.3,64.7727,-147.7725,5.8,605612054.94
1.2,64.877,-147.1095,6.48,605633552.94
0.7,64.9968,-147.5862,17.44,605726545.93
0.6,64.7073,-147.4888,12.71,605727288.08
0.8,64.7347,-147.009,-3.0,605737752.0
1.0,65.086,-146.8507,-1.05,605738504.16
0.5,64.46,-147.2873,-0.31,605783903.12
1.0,64.6738,-146.8635,-1.41,605809080.48
