ac12	-159.589564	54.830962	128.581022912	1.59040878714	4.60723860243	2.01508766574	6.63440704337	1.42935750869	3.76095718558	1.55140867443	5.75298389479
ab07	-160.476757	55.349276	170.338727689	1.69866084491	4.58255743251	2.30106676169	6.61107916617	1.4937581666	3.80533181436	1.74280292651	5.80392532029
ac02	-154.183044	56.950586	292.365596073	1.78421552484	4.33181533103	2.51447313939	6.36669934005	1.55781741393	3.73681117529	1.92516554255	5.7250115308
ac27	-154.16288	59.252508	491.288476821	1.81758799865	5.12186507446	2.59495446438	7.09428133643	1.57951824879	4.26162106975	1.98524647844	6.29574830965
ac67	-152.425436	57.790719	432.577928553	2.12037784562	4.47025471056	3.26413257932	6.50332269494	1.8078197334	3.74778815575	2.57155122659	5.73775034353
ac21	-159.127701	55.921091	109.596664201	2.3153817183	7.2079953985	3.64622599884	8.57814500723	1.91109307878	5.71320031751	2.81281839654	7.56879451658
ac41	-160.407284	55.908671	177.203952765	2.63520201173	8.21650914899	4.20813913368	9.14687343168	2.14104421292	6.37619491536	3.3062563564	8.04561584638
ac52	-157.574218	57.567248	252.278366943	2.74318149726	7.8870664086	4.38254542803	8.96915497573	2.21829761078	6.21794843014	3.46019811447	7.93647115809
ac45	-154.180966	56.564458	268.981118752	3.24841438927	9.37995837855	5.11671425586	9.722009113	2.55933524701	7.23179695196	4.08127177795	8.59246223899
ab13	-158.503773	56.307328	121.345645637	3.29955012655	10.6713211383	5.18454730522	10.2821818958	2.61189773002	8.01070935304	4.16956167948	9.0367097482
ac40	-158.618549	56.930354	187.947024605	4.84260557928	14.5995205456	6.85079098053	11.643385936	3.66761997739	10.9489889434	5.6438432965	10.3937401721
ac13	-155.622406	55.821899	153.880969711	10.4962239077	26.2738135981	10.2103308659	14.1952311445	7.63420107026	19.629587574	8.8276359425	12.9291117498
